key,tournament,round,date,level,variant,source_url,source_type,needs_translation,model_used,problem_count,output_path,sha256,status,cost_usd,scope,notes,issues
31-fall-2009-10-25-junior-advanced,31,fall,2009-10-25,junior,advanced,https://www.turgor.ru/en/problems/31/os31sl.pdf,pdf_russian,True,meta-llama/llama-3.3-70b-instruct,7,output\junior\advanced\31-fall-2009-10-25-junior-advanced.pdf,c281cf2a28afd4045ac62cac0928f0e4200df390a8eac3b0aab248aca90fe659,ok,0.00038864,included,Advanced variants for both grades in single PDF; split by header 8-9/10-11,
31-fall-2009-10-25-senior-advanced,31,fall,2009-10-25,senior,advanced,https://www.turgor.ru/en/problems/31/os31sl.pdf,pdf_russian,True,meta-llama/llama-3.3-70b-instruct,7,output\senior\advanced\31-fall-2009-10-25-senior-advanced.pdf,b00d93d4dc7133e2ce65af57a312fb63861fb1983e214cec719105f007401cd9,ok,0.00043544,included,Advanced variants for both grades in single PDF; split by header 8-9/10-11,
31-fall-2009-10-18-junior-basic,31,fall,2009-10-18,junior,basic,https://www.turgor.ru/en/problems/31/index.php,html_inline_russian,True,meta-llama/llama-3.3-70b-instruct,5,output\junior\basic\31-fall-2009-10-18-junior-basic.pdf,93aff37850cfba4a33403c038171d6a2ca7b1b6e0f717f444cb36ec034a57208,ok,0.00032402,included,Basic variant 8-9 cl inline on index page; extract by header marker,
31-fall-2009-10-18-senior-basic,31,fall,2009-10-18,senior,basic,https://www.turgor.ru/en/problems/31/index.php,html_inline_russian,True,meta-llama/llama-3.3-70b-instruct,5,output\senior\basic\31-fall-2009-10-18-senior-basic.pdf,5aa7653858a4780266b73866b14d2827230177aac5ec8438399073a46d24ffc2,ok,0.0003018,included,Basic variant 10-11 cl inline on index page; extract by header marker,
